"category_id","category_name","level","parent_category","parent_id","industry_id","is_selected"
921000,"Nước hoa, Body mist",1,"",0,2,1
921001,"Nước hoa, body mist nam",2,"Nước hoa, Body mist",921000,2,1
922001,"Nước hoa, body mist nữ",2,"Nước hoa, Body mist",921000,2,1
923001,"Nước hoa, body mist khác",2,"Nước hoa, Body mist",921000,2,1
941000,Trang điểm mặt,1,"",0,2,1
941001,Kem lót,2,Trang điểm mặt,941000,2,1
942001,Kem nền - BB/cc cream,2,Trang điểm mặt,941000,2,1
943001,Phấn nước - Cushion,2,Trang điểm mặt,941000,2,1
944001,Phấn nén/phủ,2,Trang điểm mặt,941000,2,1
945001,Che khuyết điểm,2,Trang điểm mặt,941000,2,1
946001,Phấn má,2,Trang điểm mặt,941000,2,1
947001,Tạo khối- Hightlight,2,Trang điểm mặt,941000,2,1
948001,Xịt khóa makeup,2,Trang điểm mặt,941000,2,1
961000,Trang điểm mắt,1,"",0,2,1
961001,Phấn mắt/ nhũ mắt,2,Trang điểm mắt,961000,2,1
962001,Kẻ mắt,2,Trang điểm mắt,961000,2,1
963001,Kẻ chân mày,2,Trang điểm mắt,961000,2,1
964001,Mascara/ chuốt mi,2,Trang điểm mắt,961000,2,1
965001,Kem lót mắt,2,Trang điểm mắt,961000,2,1
966001,Kẹp mi,2,Trang điểm mắt,961000,2,1
967001,Mi giả,2,Trang điểm mắt,961000,2,1
981000,Trang điểm môi,1,"",0,2,1
981001,Son môi,2,Trang điểm môi,981000,2,1
981002,Son bóng,3,Son môi,981001,2,1
981035,Son bút chì,3,Son môi,981001,2,1
981068,Son dưỡng,3,Son môi,981001,2,1
981101,Son kem,3,Son môi,981001,2,1
981134,Kẻ viền môi,3,Son môi,981001,2,1
981167,Lót môi - Khóa môi,3,Son môi,981001,2,1
981200,"Son nền, che khuyết điểm môi",3,Son môi,981001,2,1
981233,Son thỏi,3,Son môi,981001,2,1
981266,Son tint,3,Son môi,981001,2,1
982001,Dưỡng môi,2,Trang điểm môi,981000,2,1
1001000,Chăm sóc da,1,"",0,2,1
1001001,Làm sạch da,2,Chăm sóc da,1001000,2,1
1001002,Dầu Tẩy trang,3,Làm sạch da,1001001,2,1
1001035,Nước Tẩy trang,3,Làm sạch da,1001001,2,1
1001068,Sáp Tẩy trang,3,Làm sạch da,1001001,2,1
1001101,Khăn tẩy trang,3,Làm sạch da,1001001,2,1
1001134,Miếng lột mụn,3,Làm sạch da,1001001,2,1
1001167,Sữa rửa mặt,3,Làm sạch da,1001001,2,1
1001200,Nước hoa hồng,3,Làm sạch da,1001001,2,1
1001233,Tẩy da chết mặt,3,Làm sạch da,1001001,2,1
1001266,Tẩy da chết môi,3,Làm sạch da,1001001,2,1
1002001,Dưỡng da,2,Chăm sóc da,1001000,2,1
1002002,Kem/ gel  dưỡng da,3,Dưỡng da,1002001,2,1
1002035,Dầu dưỡng da,3,Dưỡng da,1002001,2,1
1002068,Serum- tinh chất dưỡng da,3,Dưỡng da,1002001,2,1
